#{"t_start": 1780674175.180513, "env_id": "LunarLander-v3"}
r,l,t
-235.802288,99,0.655899
-81.105991,63,0.665999
-92.710889,72,0.67686
-76.946565,79,0.688337
-115.070702,96,0.702277
-180.68729,96,0.716532
-86.79222,101,0.731142
-84.256552,71,0.741559
-236.148413,135,0.76109
-128.07743,82,0.772798
-67.692344,78,0.784273
-118.697767,69,0.794584
-315.197748,101,0.809292
-73.955248,127,0.827837
-494.505452,107,0.844029
-132.879406,77,0.855226
-225.593985,83,0.867097
-258.021955,93,0.880477
-92.698497,64,0.889917
-184.931823,84,0.901744
-104.455034,65,0.911311
-344.81384,105,0.926242
-46.401367,75,0.937115
-92.085749,72,1.301189
-445.971876,139,1.321219
-97.816586,86,1.33367
-130.916251,82,1.345629
-121.765914,86,1.358314
-64.508292,71,1.368972
-94.544288,63,1.378289
-226.237813,106,1.393564
-125.896784,118,1.410402
-165.395669,121,1.427835
-284.338116,93,1.440847
-86.835057,82,1.452453
-75.89227,73,1.462917
-125.209368,109,1.478475
-115.925412,66,1.487698
-69.617414,70,1.497551
-68.797657,64,1.506652
-294.087931,81,1.518012
-338.240703,87,1.530255
-182.526929,85,1.542245
-275.852209,87,1.554718
-382.792868,93,1.568172
-140.472051,139,1.587558
-101.465862,63,1.897885
-305.275586,97,1.911662
-82.113385,90,1.924294
-110.243533,76,1.934996
-78.174116,122,1.952304
-113.027675,66,1.961768
-213.322319,91,1.975399
-100.030893,95,1.988521
-64.579916,64,1.997636
-34.307958,59,2.006127
-115.292565,106,2.021327
-87.538147,65,2.030991
-361.457211,123,2.049569
-104.041184,60,2.058783
-81.567185,82,2.070941
-99.389752,105,2.086478
-147.553081,96,2.100127
-216.631619,118,2.116618
-167.145008,93,2.130048
-131.251379,136,2.149232
-178.518377,95,2.162993
-337.121596,86,2.175738
-160.994602,104,2.497851
-87.607733,114,2.514298
-327.95198,95,2.527732
-90.514341,105,2.542646
-85.374102,73,2.553044
-87.324988,101,2.567307
-90.391156,79,2.57878
-24.135642,128,2.597252
-156.683838,73,2.607824
-69.294948,72,2.618239
-197.503744,97,2.632182
-96.901364,81,2.643759
-96.028254,96,2.657566
-109.943816,131,2.676175
-112.800622,72,2.686565
-115.946755,92,2.699733
-127.194094,70,2.709771
-157.17634,146,2.730454
-260.807049,143,2.750544
-111.409559,114,2.766712
-95.840102,84,2.778587
-158.219888,103,3.089689
-193.376546,106,3.10468
-145.605042,92,3.117666
-77.486088,67,3.127078
-188.845324,173,3.151123
-41.472762,63,3.159971
-145.802873,101,3.173889
-142.148679,90,3.186354
-97.109686,81,3.197598
-214.535137,140,3.217016
-122.013712,92,3.229864
-157.613404,95,3.243056
-133.008587,93,3.256
-304.110359,151,3.276918
-119.80987,103,3.291135
-429.719962,165,3.314791
-12.878309,91,3.327825
-93.404709,77,3.338715
-115.02311,83,3.350403
-159.192259,103,3.36476
-120.071129,106,3.67121
-121.735703,63,3.680276
-204.192522,90,3.692944
5.132825,106,3.707875
-99.666574,75,3.718454
-138.576775,93,3.731434
-196.641453,116,3.74778
-104.688139,144,3.767823
-87.890574,90,3.780395
-96.608734,106,3.795225
-179.497815,138,3.814654
-85.956256,81,3.826214
-100.953595,81,3.837655
-106.451453,79,3.848818
-315.295692,136,3.867854
-110.568055,85,3.879891
-163.186467,135,3.898778
-108.796584,76,3.909604
-66.032384,80,3.920531
-80.075263,79,3.931622
-61.311179,154,4.244985
-425.467937,157,4.267053
-52.068082,118,4.283534
-250.372104,139,4.303172
-104.501128,120,4.319771
-282.116863,163,4.343159
-68.783786,78,4.354066
-129.175301,119,4.370737
-107.785853,122,4.387782
-196.21938,146,4.408283
-181.98841,134,4.426987
-269.268313,153,4.44818
-203.628474,178,4.472793
-274.197422,124,4.490026
-62.812707,82,4.501428
-42.669611,82,4.512843
-46.170447,74,4.52322
-98.051499,138,4.833253
-170.800653,162,4.855928
-342.717207,118,4.872321
-224.543122,110,4.887433
-156.946458,99,4.901237
-277.068185,129,4.919194
-181.422382,144,4.939144
-257.619704,104,4.953699
-215.328787,126,4.971112
-49.624441,156,4.992624
-115.104516,169,5.015875
-46.167411,90,5.0283
-118.566653,88,5.040405
-196.94732,122,5.057151
-103.752273,115,5.073037
-51.234142,108,5.08798
-94.103226,64,5.097078
-222.078847,93,5.400089
-86.00497,106,5.415018
9.596143,123,5.432181
-77.096173,129,5.450044
-104.522291,122,5.466968
-141.257239,224,5.497771
-134.467517,149,5.518404
-60.112719,158,5.540569
-179.14292,136,5.55948
-246.277914,135,5.578336
-59.866878,125,5.595812
-306.698279,153,5.617148
-45.361747,142,5.636786
29.15374,107,5.651858
-107.091007,144,5.671719
-93.423069,114,5.97696
-62.434042,177,6.001928
-43.30124,117,6.018145
-57.617743,107,6.033082
-78.607714,85,6.044863
-91.418658,121,6.061629
-46.814069,109,6.076661
-74.881601,102,6.090756
-42.120607,130,6.10872
-200.268377,260,6.144177
-43.022682,149,6.16458
-118.430258,145,6.184542
-49.08656,155,6.205832
-48.351677,129,6.223531
-94.298213,112,6.239013
-29.472108,105,6.5666
-70.163772,109,6.582324
-17.671782,101,6.596765
-83.787408,106,6.611686
-70.596926,105,6.626478
-63.074167,90,6.639041
-133.24735,152,6.661487
-172.88885,110,6.677786
-55.61964,135,6.696729
-78.611025,91,6.709696
-89.496908,151,6.731032
-89.141582,112,6.746992
-141.718199,125,6.765184
-90.012782,143,6.785402
2.389493,99,6.800048
-96.149486,97,6.814148
-37.221993,76,6.825142
-92.397451,119,6.842122
-18.194791,180,7.161761
-103.931569,136,7.180771
8.448701,148,7.201414
-109.46009,105,7.216053
-75.932638,105,7.23078
-173.094311,168,7.253938
-155.859011,132,7.272241
-96.457636,144,7.292061
-77.653035,168,7.315646
-49.499845,126,7.333121
-88.993862,149,7.353736
-28.795991,159,7.376096
-21.410681,201,7.404076
-31.669894,104,7.418484
-152.05675,201,7.760362
-28.964653,190,7.811622
-48.893593,130,7.830238
-25.305191,123,7.847574
-37.724029,157,7.870214
-237.564461,204,7.898994
23.856745,170,7.923308
-86.759622,163,7.946413
-1.287118,293,7.986891
-191.067272,202,8.014689
-60.260227,169,8.038063
-77.549009,195,8.362308
-11.764875,286,8.40302
-124.991072,174,8.427451
66.092051,197,8.455154
-426.432057,255,8.490319
34.793317,1000,8.633196
-191.426291,190,8.953405
-109.767251,201,8.981527
40.312739,172,9.005411
45.906838,167,9.02841
-21.061348,240,9.061071
-263.321649,206,9.089462
-32.624879,154,9.110469
1.344824,147,9.130679
-73.590045,147,9.1508
-158.990902,379,9.202609
-38.834163,324,9.538812
27.852494,179,9.563674
-164.574495,178,9.588354
-135.221037,147,9.608689
-270.944568,291,9.648854
-167.398945,408,9.704669
-34.835939,348,9.752067
-79.388603,237,9.784633
16.23082,245,10.11056
64.315491,1000,10.253193
51.665683,1000,10.686969
38.7162,212,10.716382
-44.471106,387,10.769526
-102.689863,207,10.798184
-74.9883,218,10.82891
-26.689978,387,10.882489
6.069565,135,10.901474
-48.17626,174,10.925654
-19.042094,214,11.248221
99.420141,1000,11.3916
