#{"t_start": 1780643299.747448, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.645053
-200.0,200,0.670765
-200.0,200,0.695131
-200.0,200,0.719888
-200.0,200,0.744034
-200.0,200,0.768636
-200.0,200,0.793158
-200.0,200,0.817785
-200.0,200,0.842361
-200.0,200,0.866888
-200.0,200,1.248308
-200.0,200,1.272894
-200.0,200,1.297186
-200.0,200,1.321398
-200.0,200,1.345668
-200.0,200,1.369839
-200.0,200,1.394038
-200.0,200,1.417778
-200.0,200,1.442068
-200.0,200,1.466613
-200.0,200,1.802388
-200.0,200,1.826919
-200.0,200,1.851362
-200.0,200,1.875494
-200.0,200,1.90021
-200.0,200,1.924872
-200.0,200,1.949263
-200.0,200,1.973738
-200.0,200,1.999124
-200.0,200,2.024501
-200.0,200,2.354834
-200.0,200,2.379301
-200.0,200,2.403821
-200.0,200,2.428984
-200.0,200,2.453333
-200.0,200,2.479718
-200.0,200,2.504559
-200.0,200,2.528875
-200.0,200,2.553125
-200.0,200,2.577165
-200.0,200,2.900392
-200.0,200,2.9245
-200.0,200,2.948423
-200.0,200,2.972583
-200.0,200,2.997018
-200.0,200,3.02122
-200.0,200,3.045271
-200.0,200,3.069475
-200.0,200,3.093808
-200.0,200,3.118149
-200.0,200,3.264119
-200.0,200,3.645609
-200.0,200,3.672224
-200.0,200,3.697608
-200.0,200,3.723077
-200.0,200,3.747661
-200.0,200,3.772189
-200.0,200,3.79675
-200.0,200,3.821041
-200.0,200,3.845353
-200.0,200,3.869961
-200.0,200,4.193969
-200.0,200,4.218785
-200.0,200,4.242357
-200.0,200,4.265627
-200.0,200,4.289158
-200.0,200,4.312639
-200.0,200,4.335866
-200.0,200,4.359392
-200.0,200,4.383449
-200.0,200,4.408066
-200.0,200,4.730027
-200.0,200,4.754605
-200.0,200,4.778912
-200.0,200,4.803409
-200.0,200,4.828016
-200.0,200,4.852551
-200.0,200,4.877011
-200.0,200,4.901358
-200.0,200,4.925276
-200.0,200,4.948956
-200.0,200,5.271112
-200.0,200,5.295236
-200.0,200,5.319321
-200.0,200,5.343243
-200.0,200,5.367157
-200.0,200,5.391129
-200.0,200,5.41505
-200.0,200,5.438999
-200.0,200,5.462767
-200.0,200,5.486834
-200.0,200,5.510838
-200.0,200,5.834103
-200.0,200,5.858303
-200.0,200,5.882184
-200.0,200,5.905794
-200.0,200,5.929305
-200.0,200,5.952563
-200.0,200,5.976595
-200.0,200,6.000876
-200.0,200,6.116422
-200.0,200,6.141066
-200.0,200,6.467518
-200.0,200,6.492538
-200.0,200,6.516869
-200.0,200,6.541295
-200.0,200,6.565913
-200.0,200,6.590667
-200.0,200,6.616454
-200.0,200,6.643288
-200.0,200,6.669386
-200.0,200,6.724865
-200.0,200,7.064741
-200.0,200,7.089847
