#{"t_start": 1780643578.868476, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.027991
-200.0,200,0.093153
-200.0,200,0.119458
-200.0,200,0.143808
-200.0,200,0.168503
-200.0,200,0.193917
-200.0,200,0.218235
-200.0,200,0.24238
-200.0,200,0.266306
-200.0,200,0.290184
-200.0,200,0.619627
-200.0,200,0.644196
-200.0,200,0.66894
-200.0,200,0.693336
-200.0,200,0.717528
-200.0,200,0.74189
-200.0,200,0.766555
-200.0,200,0.790799
-200.0,200,0.815121
-200.0,200,0.839278
-200.0,200,1.169078
-200.0,200,1.193187
-200.0,200,1.217989
-200.0,200,1.242137
-200.0,200,1.266355
-200.0,200,1.290536
-200.0,200,1.314924
-200.0,200,1.339187
-200.0,200,1.363744
-200.0,200,1.388172
-200.0,200,1.712295
-200.0,200,1.736574
-200.0,200,1.760861
-200.0,200,1.785256
-200.0,200,1.809539
-200.0,200,1.833754
-200.0,200,1.858176
-200.0,200,1.882817
-200.0,200,1.907612
-200.0,200,1.93206
-200.0,200,2.254019
-200.0,200,2.278038
-200.0,200,2.302237
-200.0,200,2.326246
-200.0,200,2.350143
-200.0,200,2.374395
-200.0,200,2.399644
-200.0,200,2.424205
-200.0,200,2.448478
-200.0,200,2.47267
-200.0,200,2.590134
-200.0,200,2.919962
-200.0,200,2.944016
-200.0,200,2.968201
-200.0,200,2.992115
-200.0,200,3.016088
-200.0,200,3.040335
-200.0,200,3.064299
-200.0,200,3.088999
-200.0,200,3.113117
-200.0,200,3.13734
-200.0,200,3.465137
-200.0,200,3.489624
-200.0,200,3.513895
-200.0,200,3.538097
-200.0,200,3.562013
-200.0,200,3.585928
-200.0,200,3.609812
-200.0,200,3.634397
-200.0,200,3.658225
-200.0,200,3.68262
-200.0,200,4.011223
-200.0,200,4.035542
-200.0,200,4.059714
-200.0,200,4.083734
-200.0,200,4.107802
-200.0,200,4.131871
-200.0,200,4.155894
-200.0,200,4.179789
-200.0,200,4.203778
-200.0,200,4.227739
-200.0,200,4.554105
-200.0,200,4.579435
-200.0,200,4.603887
-200.0,200,4.627901
-200.0,200,4.651849
-200.0,200,4.675896
-200.0,200,4.699741
-200.0,200,4.723578
-200.0,200,4.747539
-200.0,200,4.771416
-200.0,200,4.795376
-200.0,200,5.12039
-200.0,200,5.144675
-200.0,200,5.168978
-200.0,200,5.193057
-200.0,200,5.217302
-200.0,200,5.24143
-200.0,200,5.265614
-200.0,200,5.289791
-200.0,200,5.408923
-200.0,200,5.434078
-200.0,200,5.761522
-200.0,200,5.7858
-200.0,200,5.809861
-200.0,200,5.834068
-200.0,200,5.858432
-200.0,200,5.882594
-200.0,200,5.907453
-200.0,200,5.932242
-200.0,200,5.956353
-200.0,200,5.980729
-200.0,200,6.307844
-200.0,200,6.332256
-200.0,200,6.356993
-200.0,200,6.381477
-200.0,200,6.405807
-200.0,200,6.430284
-200.0,200,6.454452
-200.0,200,6.478591
-200.0,200,6.502685
-200.0,200,6.526957
-200.0,200,6.854556
-200.0,200,6.879016
-200.0,200,6.903282
-200.0,200,6.927309
-200.0,200,6.952094
-200.0,200,6.976455
-200.0,200,7.000741
-200.0,200,7.025052
-200.0,200,7.049349
-200.0,200,7.073551
-200.0,200,7.097926
-200.0,200,7.422454
-200.0,200,7.4465
-200.0,200,7.4708
-200.0,200,7.495144
-200.0,200,7.519352
-200.0,200,7.543517
-200.0,200,7.56758
-200.0,200,7.591677
-200.0,200,7.615892
-200.0,200,7.639915
-200.0,200,7.964344
-200.0,200,7.988618
-200.0,200,8.012837
-200.0,200,8.037117
-200.0,200,8.06133
-200.0,200,8.085403
-200.0,200,8.109576
-200.0,200,8.224951
-200.0,200,8.250322
-200.0,200,8.275141
-200.0,200,8.601777
-200.0,200,8.626169
-200.0,200,8.65056
-200.0,200,8.674895
-200.0,200,8.699058
-200.0,200,8.724217
-200.0,200,8.749479
-200.0,200,8.774386
-200.0,200,8.798878
-200.0,200,8.823548
-200.0,200,9.153255
-200.0,200,9.177981
-200.0,200,9.202432
-200.0,200,9.226701
-200.0,200,9.251083
-200.0,200,9.275622
-200.0,200,9.300133
-200.0,200,9.32416
-200.0,200,9.34852
-200.0,200,9.373151
-200.0,200,9.397417
-200.0,200,9.729598
-200.0,200,9.754254
-200.0,200,9.7788
-200.0,200,9.803395
-200.0,200,9.827837
-200.0,200,9.852363
-200.0,200,9.877489
-200.0,200,9.901958
-200.0,200,9.926271
-200.0,200,9.950509
-200.0,200,10.274721
-200.0,200,10.298885
-200.0,200,10.322932
-200.0,200,10.346811
-200.0,200,10.371556
-200.0,200,10.395691
-200.0,200,10.419904
-200.0,200,10.444517
-200.0,200,10.468872
-200.0,200,10.493056
-200.0,200,10.817904
-200.0,200,10.842167
-200.0,200,10.867115
-200.0,200,10.891605
-200.0,200,10.915779
-200.0,200,10.939982
-200.0,200,11.055928
-200.0,200,11.080561
-200.0,200,11.105074
-200.0,200,11.129869
-200.0,200,11.456641
-200.0,200,11.481151
-200.0,200,11.505692
-200.0,200,11.530177
-200.0,200,11.555233
-200.0,200,11.579856
-200.0,200,11.604238
-200.0,200,11.628665
-200.0,200,11.653368
-200.0,200,11.677759
-200.0,200,11.702167
-200.0,200,12.078911
-200.0,200,12.10357
-200.0,200,12.12798
-200.0,200,12.152189
-200.0,200,12.176317
-200.0,200,12.200972
-200.0,200,12.22548
-200.0,200,12.249904
-200.0,200,12.274027
-200.0,200,12.298194
-200.0,200,12.624581
-200.0,200,12.649076
-200.0,200,12.673342
-200.0,200,12.697457
-200.0,200,12.721683
-200.0,200,12.745757
-200.0,200,12.770019
-200.0,200,12.794002
