#{"t_start": 1780643441.363722, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.027057
-200.0,200,0.050565
-200.0,200,0.074472
-200.0,200,0.099058
-200.0,200,0.12348
-200.0,200,0.147494
-200.0,200,0.171549
-200.0,200,0.195547
-200.0,200,0.219548
-200.0,200,0.243513
-200.0,200,0.567712
-200.0,200,0.591648
-200.0,200,0.615531
-200.0,200,0.63975
-200.0,200,0.66408
-200.0,200,0.68822
-200.0,200,0.712201
-200.0,200,0.736297
-200.0,200,0.76028
-200.0,200,0.78422
-200.0,200,1.114462
-200.0,200,1.138542
-200.0,200,1.162939
-200.0,200,1.186932
-200.0,200,1.210901
-200.0,200,1.234826
-200.0,200,1.258515
-200.0,200,1.282365
-200.0,200,1.305978
-200.0,200,1.329742
-200.0,200,1.651327
-200.0,200,1.67576
-200.0,200,1.699705
-200.0,200,1.723494
-200.0,200,1.747301
-200.0,200,1.771161
-200.0,200,1.79485
-200.0,200,1.818472
-200.0,200,1.842256
-200.0,200,1.866594
-200.0,200,2.194884
-200.0,200,2.218864
-200.0,200,2.242471
-200.0,200,2.266066
-200.0,200,2.2896
-200.0,200,2.313113
-200.0,200,2.336653
-200.0,200,2.360753
-200.0,200,2.385032
-200.0,200,2.409168
-200.0,200,2.528117
-200.0,200,2.853132
-200.0,200,2.877361
-200.0,200,2.901309
-200.0,200,2.925775
-200.0,200,2.950388
-200.0,200,2.974781
-200.0,200,2.999192
-200.0,200,3.023635
-200.0,200,3.048001
-200.0,200,3.072451
-200.0,200,3.397317
-200.0,200,3.422202
-200.0,200,3.446735
-200.0,200,3.471092
-200.0,200,3.495491
-200.0,200,3.519844
-200.0,200,3.544341
-200.0,200,3.568741
-200.0,200,3.593282
-200.0,200,3.617602
-200.0,200,3.941249
-200.0,200,3.965788
-200.0,200,3.990043
-200.0,200,4.014098
-200.0,200,4.038773
-200.0,200,4.063409
-200.0,200,4.087835
-200.0,200,4.112196
-200.0,200,4.136357
-200.0,200,4.161344
-200.0,200,4.486005
-200.0,200,4.510442
-200.0,200,4.534496
-200.0,200,4.559043
-200.0,200,4.583335
-200.0,200,4.607624
-200.0,200,4.631939
-200.0,200,4.656078
-200.0,200,4.680096
-200.0,200,4.70444
-200.0,200,4.728731
-200.0,200,5.052196
-200.0,200,5.076462
-200.0,200,5.100679
-200.0,200,5.125208
-200.0,200,5.149302
-200.0,200,5.173654
-200.0,200,5.197784
-200.0,200,5.221687
-200.0,200,5.338536
-200.0,200,5.363752
-200.0,200,5.69057
-200.0,200,5.715051
-200.0,200,5.739201
-200.0,200,5.763197
-200.0,200,5.787273
-200.0,200,5.811223
-200.0,200,5.835052
-200.0,200,5.859358
-200.0,200,5.883346
-200.0,200,5.907455
-200.0,200,6.230058
-200.0,200,6.254166
-200.0,200,6.278094
-200.0,200,6.301942
-200.0,200,6.325835
-200.0,200,6.349836
-200.0,200,6.374532
-200.0,200,6.398602
-200.0,200,6.422697
-200.0,200,6.446906
-200.0,200,6.770002
-200.0,200,6.79396
-200.0,200,6.817961
-200.0,200,6.841929
-200.0,200,6.866221
-200.0,200,6.890316
-200.0,200,6.914809
-200.0,200,6.939158
-200.0,200,6.963408
-200.0,200,6.987764
-200.0,200,7.012088
-200.0,200,7.339176
-200.0,200,7.363846
-200.0,200,7.388337
-200.0,200,7.412623
-200.0,200,7.436782
-200.0,200,7.460831
-200.0,200,7.484946
-200.0,200,7.509164
-200.0,200,7.533401
-200.0,200,7.557517
-200.0,200,7.9269
-200.0,200,7.950952
-200.0,200,7.975311
-200.0,200,7.999827
-200.0,200,8.023672
-200.0,200,8.04739
-200.0,200,8.071258
-200.0,200,8.185025
-200.0,200,8.209787
-200.0,200,8.234014
-200.0,200,8.559233
-200.0,200,8.583532
-200.0,200,8.607509
-200.0,200,8.631456
